Date : 2024-03-24 03:11:18
Directory : c:\Users\Modather\FlutterProjects\money_manager
Total : 55 files,  1791 codes, 441 comments, 263 blanks, all 2495 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Modather\FlutterProjects\money_manager\ios\RunnerTests\RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\Modather\FlutterProjects\money_manager\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\Modather\FlutterProjects\money_manager\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\Modather\FlutterProjects\money_manager\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\Modather\FlutterProjects\money_manager\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\Modather\FlutterProjects\money_manager\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Users\Modather\FlutterProjects\money_manager\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Users\Modather\FlutterProjects\money_manager\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\bloc\bloc.dart                                            | Dart       |          1 |          0 |          1 |          2 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\bloc\money_updates_bloc.dart                              | Dart       |         37 |          1 |         10 |         48 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\firebase\auth_enums.dart                                  | Dart       |         23 |          0 |          4 |         27 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\firebase\fire_auth.dart                                   | Dart       |         44 |          5 |         11 |         60 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\firebase\fire_database.dart                               | Dart       |        181 |          0 |         26 |        207 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\firebase\firebase.dart                                    | Dart       |          3 |          0 |          1 |          4 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\main.dart                                                 | Dart       |         40 |          0 |          6 |         46 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\models\json\money_updates.json                            | JSON       |         16 |          0 |          0 |         16 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\models\models.dart                                        | Dart       |          1 |          0 |          1 |          2 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\models\money_usage.dart                                   | Dart       |         98 |          3 |         14 |        115 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\screens\balance_screen.dart                               | Dart       |         69 |          0 |         10 |         79 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\screens\money_usage_screen.dart                           | Dart       |         64 |          3 |          7 |         74 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\screens\screens.dart                                      | Dart       |          5 |          0 |          1 |          6 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\screens\sign_in_screen.dart                               | Dart       |         39 |          2 |          4 |         45 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\screens\update_usage_screen.dart                          | Dart       |        207 |          0 |         17 |        224 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\balance_text_field.dart                   | Dart       |         52 |          0 |          4 |         56 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\beauty_text_field.dart                    | Dart       |         77 |          0 |          4 |         81 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\chart_screen.dart                         | Dart       |          0 |        227 |         12 |        239 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\loading_view.dart                         | Dart       |         13 |          0 |          3 |         16 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\money_text_form_field.dart                | Dart       |         29 |          7 |          3 |         39 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\tracker_chart.dart                        | Dart       |          0 |         77 |         10 |         87 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\transaction_widget.dart                   | Dart       |         47 |          0 |          5 |         52 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\widgets.dart                              | Dart       |          6 |          0 |          1 |          7 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\service\authentication.dart                               | Dart       |         45 |          4 |          9 |         58 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\service\cloud_firestore.dart                              | Dart       |         88 |          0 |         12 |        100 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\service\service.dart                                      | Dart       |          2 |          0 |          1 |          3 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\tools\date_formatter.dart                                 | Dart       |         52 |          0 |          5 |         57 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\tools\logger_utils.dart                                   | Dart       |          9 |          1 |          3 |         13 |
| c:\Users\Modather\FlutterProjects\money_manager\lib\tools\tools.dart                                          | Dart       |          1 |          0 |          1 |          2 |
| c:\Users\Modather\FlutterProjects\money_manager\pubspec.yaml                                                  | YAML       |         35 |         21 |         15 |         71 |
| c:\Users\Modather\FlutterProjects\money_manager\test\widget_test.dart                                         | Dart       |         14 |         10 |          6 |         30 |
| Total                                                                                                         |            |      1,791 |        441 |        263 |      2,495 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
